Date,Actual,Predicted
2025-01-01,0.11262798634812286,0.4931565415244598
2025-01-02,0.2593856655290102,0.5174947667804319
2025-01-03,0.4334470989761092,0.562356769055745
2025-01-04,0.04436860068259386,0.306464505119454
2025-01-05,0.08873720136518772,0.3010402730375423
2025-01-06,0.1945392491467577,0.3057071672354951
2025-01-07,0.14675767918088736,0.32371717861205956
2025-01-08,0.16382252559726962,0.34934857792946644
2025-01-09,0.31395904436860067,0.46261103526734965
2025-01-10,0.5528668941979522,0.5194828213879406
2025-01-11,0.10580204778156997,0.20351160409556313
2025-01-12,0.15699658703071673,0.4449242320819128
2025-01-13,0.15699658703071673,0.31793594994311813
2025-01-14,0.16723549488054607,0.3225554038680328
2025-01-15,0.2150170648464164,0.36040853242320936
2025-01-16,0.6825938566552902,0.4506754266211609
2025-01-17,0.5085324232081911,0.6968780432309429
2025-01-18,0.14675767918088736,0.20788452787258258
2025-01-19,0.19112627986348124,0.45720455062571225
2025-01-20,0.19112627986348124,0.3270960182025036
2025-01-21,0.18088737201365188,0.32604448236632627
2025-01-22,0.17064846416382254,0.3606423208191133
2025-01-23,0.5767918088737202,0.5936209328782694
2025-01-24,0.6450511945392492,0.6285032992036407
2025-01-25,0.12627986348122866,0.18269442548350387
2025-01-26,0.1945392491467577,0.42382389078498445
2025-01-27,0.24232081911262798,0.33677474402730434
2025-01-28,0.33447098976109213,0.3139832764505126
2025-01-29,0.4539249146757679,0.4129101251422073
2025-01-30,0.6109215017064846,0.6200406143344704
2025-01-31,0.5767918088737202,0.638643572241183
2025-02-01,0.31399317406143346,0.14154618885096706
2025-02-02,0.5289761092150171,0.43242366325369697
2025-02-03,0.7508532423208191,0.5124199089874857
2025-02-04,0.7508532423208191,0.7485345847554058
2025-02-05,0.5836177474402731,0.6928869169510817
2025-02-06,0.5255972696245734,0.5530549488054602
2025-02-07,0.447098976109215,0.5468800910125151
2025-02-08,0.10580204778156997,0.27579931740614305
2025-02-09,0.13993174061433447,0.23259032992036358
2025-02-10,0.15358361774744028,0.2549549488054607
2025-02-11,0.20136518771331058,0.30503253697383426
2025-02-12,0.2900682593856655,0.30955836177474483
2025-02-13,0.7610921501706485,0.49491717861205936
2025-02-14,0.45051194539249145,0.6930761092150175
2025-02-15,0.08532423208191127,0.1666883959044369
2025-02-16,0.18430034129692832,0.30488839590443734
2025-02-17,0.2764505119453925,0.23352684869169527
2025-02-18,0.23208191126279865,0.341408418657565
2025-02-19,0.38211604095563134,0.36100602957906697
2025-02-20,0.5494197952218429,0.6168745164960175
2025-02-21,0.5084300341296928,0.6039329920364046
2025-02-22,0.18423208191126275,0.14990853242320817
2025-02-23,0.15358361774744028,0.28377417519909026
2025-02-24,0.1945392491467577,0.21447372013651925
2025-02-25,0.22866894197952217,0.2580498293515362
2025-02-26,0.3447098976109215,0.33800022753128567
2025-02-27,0.5358361774744027,0.5556076222980658
2025-02-28,0.658703071672355,0.6151390216154728
2025-03-01,0.23208191126279865,0.22949032992036408
2025-03-02,0.27303754266211605,0.3784865756541534
2025-03-03,0.2764505119453925,0.2659903299203633
2025-03-04,0.18771331058020477,0.2545877133105797
2025-03-05,0.17747440273037543,0.2591146757679181
2025-03-06,0.8771331058020477,0.46363777019340224
2025-03-07,0.8020477815699659,0.7297286689419802
2025-03-08,0.10238907849829351,0.3038437997724686
2025-03-09,0.19112627986348124,0.21483492605233295
2025-03-10,0.3822525597269625,0.24268873720136536
2025-03-11,0.20477815699658702,0.45068919226393583
2025-03-12,0.15699658703071673,0.28871114903299205
2025-03-13,0.4232081911262799,0.5595508532423203
2025-03-14,0.6040955631399317,0.5731862343572234
2025-03-15,0.17064846416382254,0.20585938566552858
2025-03-16,0.23208191126279865,0.18633048919226453
2025-03-17,0.5665187713310581,0.3027321956769057
2025-03-18,0.41638225255972694,0.5392331058020482
2025-03-19,0.5357679180887371,0.44156234357224106
2025-03-20,0.6143344709897611,0.5409038680318549
2025-03-21,0.5324232081911263,0.6205069397042092
2025-03-22,0.22184300341296928,0.291781001137656
2025-03-23,0.35494880546075086,0.3378117178612066
2025-03-24,0.37542662116040953,0.4615323094425483
2025-03-25,0.4232081911262799,0.47234618885096635
2025-03-26,0.3822525597269625,0.527128668941979
2025-03-27,0.5494880546075085,0.5584606370875987
2025-03-28,0.685938566552901,0.6146530147895342
2025-03-29,0.21843003412969283,0.29290853242320797
2025-03-30,0.23890784982935154,0.35437098976109316
2025-03-31,0.4129692832764505,0.3101524459613199
2025-04-01,0.16040955631399317,0.4305943117178609
2025-04-02,0.12627986348122866,0.23027463026166145
2025-04-03,0.4232081911262799,0.5160209328782702
2025-04-04,0.45733788395904434,0.5646095563139937
2025-04-05,0.15358361774744028,0.21225984072810014
2025-04-06,0.24232081911262798,0.2456764505119453
2025-04-07,0.310580204778157,0.4738810011376583
2025-04-08,0.3515358361774744,0.334891353811149
2025-04-09,0.2935153583617747,0.38345745164960165
2025-04-10,0.2150170648464164,0.4841847554038684
2025-04-11,0.8498293515358362,0.4799444823663248
2025-04-12,0.8532423208191127,0.188071899886234
2025-04-13,0.5938566552901023,0.6339838452787259
2025-04-14,0.6450511945392492,0.619046416382253
2025-04-15,0.8122866894197952,0.6560930602957904
2025-04-16,0.7815699658703071,0.7459097838452781
2025-04-17,0.6928327645051194,0.6336514220705344
2025-04-18,0.764505119453925,0.7381473265073961
2025-04-19,0.5119453924914675,0.7070242320819112
2025-04-20,0.39590443686006827,0.6186175199089871
2025-04-21,0.3993174061433447,0.47437315130830454
2025-04-22,0.44368600682593856,0.47092298065983984
2025-04-23,0.32764505119453924,0.4988452787258237
2025-04-24,0.3890784982935154,0.48172855517633556
2025-04-25,0.44368600682593856,0.5190258248009101
2025-04-26,0.22184300341296928,0.41236928327645034
2025-04-27,0.23208191126279865,0.3319981797497155
2025-04-28,0.20136518771331058,0.42385972696245844
2025-04-29,0.18771331058020477,0.35509533560864637
2025-04-30,0.3890784982935154,0.3530771331058023
2025-05-01,0.5119453924914675,0.44038850967008036
2025-05-02,0.49829351535836175,0.5861114903299213
2025-05-03,0.18088737201365188,0.24958213879408467
2025-05-04,0.19795221843003413,0.33346643913538104
2025-05-05,0.18771331058020477,0.31721035267349296
2025-05-06,0.2696245733788396,0.30800625711035295
